BODY ORDERED NET LIST - 1  
CN1              CAPN4I-100NF,16V,X7R,CKCA43 1        UNNAMED_1_CAPN4I_I10_A_13
                                  3        GND_SIGNAL              
                                  4        UNNAMED_1_CAPN4I_I10_A_2_8
                                  5        UNNAMED_1_CAPN4I_I10_A_3_8
                                  6        UNNAMED_1_CAPN4I_I10_A_3_8
                                  7        UNNAMED_1_CAPN4I_I10_A_2_8
                                  8        GND_SIGNAL              
                                  9        UNNAMED_1_CAPN4I_I10_A_1_8
                                  10       UNNAMED_1_CAPN4I_I10_A_8
D15              TVS_DIODE_ARRAY_SP3010_UDFN-SPA 1        UNNAMED_1_CAPN4I_I10_A_4
                                  2        UNNAMED_1_CAPN4I_I10_A_1_4
                                  3        GND_SIGNAL              
                                  4        UNNAMED_1_CAPN4I_I10_A_2_4
                                  5        UNNAMED_1_CAPN4I_I10_A_3_4
                                  6        UNNAMED_1_CAPN4I_I10_A_3_4
                                  7        UNNAMED_1_CAPN4I_I10_A_2_4
                                  8        GND_SIGNAL              
                                  9        UNNAMED_1_CAPN4I_I10_A_1_4
                                  10       UNNAMED_1_CAPN4I_I10_A_4
D16              TVS_DIODE_ARRAY_SP3010_UDFN-SPA 1        UNNAMED_1_CAPN4I_I10_A_5
                                  2        UNNAMED_1_CAPN4I_I10_A_1_5
                                  3        GND_SIGNAL              
                                  4        UNNAMED_1_CAPN4I_I10_A_2_5
                                  5        UNNAMED_1_CAPN4I_I10_A_3_5
                                  6        UNNAMED_1_CAPN4I_I10_A_3_5
                                  7        UNNAMED_1_CAPN4I_I10_A_2_5
                                  8        GND_SIGNAL              
                                  9        UNNAMED_1_CAPN4I_I10_A_1_5
                                  10       UNNAMED_1_CAPN4I_I10_A_5
J1               CON150P-QSS75_01FDA-P1=GND_SIGA 1        GND_SIGNAL              
                                  2        ANALOG_TO_MAROC<0>      
                                  3        ANALOG_TO_MAROC<1>      
                                  4        GND_SIGNAL              
                                  5        GND_SIGNAL              
                                  6        ANALOG_TO_MAROC<2>      
                                  7        ANALOG_TO_MAROC<3>      
                                  8        GND_SIGNAL              
                                  9        GND_SIGNAL              
                                  10       ANALOG_TO_MAROC<4>      
                                  11       ANALOG_TO_MAROC<5>      
                                  12       GND_SIGNAL              
                                  13       GND_SIGNAL              
                                  14       ANALOG_TO_MAROC<6>      
                                  15       ANALOG_TO_MAROC<7>      
                                  16       GND_SIGNAL              
                                  17       GND_SIGNAL              
                                  18       ANALOG_TO_MAROC<8>      
                                  19       ANALOG_TO_MAROC<9>      
                                  20       GND_SIGNAL              
                                  21       GND_SIGNAL              
                                  22       ANALOG_TO_MAROC<10>     
                                  23       ANALOG_TO_MAROC<11>     
                                  24       GND_SIGNAL              
                                  25       GND_SIGNAL              
                                  26       ANALOG_TO_MAROC<12>     
                                  27       ANALOG_TO_MAROC<13>     
                                  28       GND_SIGNAL              
                                  29       GND_SIGNAL              
                                  30       ANALOG_TO_MAROC<14>     
                                  31       ANALOG_TO_MAROC<15>     
                                  32       GND_SIGNAL              
                                  33       GND_SIGNAL              
                                  34       ANALOG_TO_MAROC<16>     
                                  35       ANALOG_TO_MAROC<17>     
                                  36       GND_SIGNAL              
                                  37       GND_SIGNAL              
                                  38       ANALOG_TO_MAROC<18>     
                                  39       ANALOG_TO_MAROC<19>     
                                  40       GND_SIGNAL              
                                  41       GND_SIGNAL              
                                  42       ANALOG_TO_MAROC<20>     
                                  43       ANALOG_TO_MAROC<21>     
                                  44       GND_SIGNAL              
                                  45       GND_SIGNAL              
                                  46       ANALOG_TO_MAROC<22>     
                                  47       ANALOG_TO_MAROC<23>     
                                  48       GND_SIGNAL              
                                  49       GND_SIGNAL              
                                  50       ANALOG_TO_MAROC<24>     
                                  51       ANALOG_TO_MAROC<25>     
                                  52       GND_SIGNAL              
                                  53       GND_SIGNAL              
                                  54       ANALOG_TO_MAROC<26>     
                                  55       ANALOG_TO_MAROC<27>     
                                  56       GND_SIGNAL              
                                  57       GND_SIGNAL              
                                  58       ANALOG_TO_MAROC<28>     
                                  59       ANALOG_TO_MAROC<29>     
                                  60       GND_SIGNAL              
                                  61       GND_SIGNAL              
                                  62       ANALOG_TO_MAROC<30>     
                                  63       ANALOG_TO_MAROC<31>     
                                  64       GND_SIGNAL              
                                  65       GND_SIGNAL              
                                  66       ANALOG_TO_MAROC<32>     
                                  67       ANALOG_TO_MAROC<33>     
                                  68       GND_SIGNAL              
                                  69       GND_SIGNAL              
                                  70       ANALOG_TO_MAROC<34>     
                                  71       ANALOG_TO_MAROC<35>     
                                  72       GND_SIGNAL              
                                  73       GND_SIGNAL              
                                  74       ANALOG_TO_MAROC<36>     
                                  75       ANALOG_TO_MAROC<37>     
                                  76       GND_SIGNAL              
                                  77       GND_SIGNAL              
                                  78       ANALOG_TO_MAROC<38>     
                                  79       ANALOG_TO_MAROC<39>     
                                  80       GND_SIGNAL              
                                  81       GND_SIGNAL              
                                  82       ANALOG_TO_MAROC<40>     
                                  83       ANALOG_TO_MAROC<41>     
                                  84       GND_SIGNAL              
                                  85       GND_SIGNAL              
                                  86       ANALOG_TO_MAROC<42>     
                                  87       ANALOG_TO_MAROC<43>     
                                  88       GND_SIGNAL              
                                  89       GND_SIGNAL              
                                  90       ANALOG_TO_MAROC<44>     
                                  91       ANALOG_TO_MAROC<45>     
                                  92       GND_SIGNAL              
                                  93       GND_SIGNAL              
                                  94       ANALOG_TO_MAROC<46>     
                                  95       ANALOG_TO_MAROC<47>     
                                  96       GND_SIGNAL              
                                  97       GND_SIGNAL              
                                  98       ANALOG_TO_MAROC<48>     
                                  99       ANALOG_TO_MAROC<49>     
                                  100      GND_SIGNAL              
                                  101      GND_SIGNAL              
                                  102      ANALOG_TO_MAROC<50>     
                                  103      ANALOG_TO_MAROC<51>     
                                  104      GND_SIGNAL              
                                  105      GND_SIGNAL              
                                  106      ANALOG_TO_MAROC<52>     
                                  107      ANALOG_TO_MAROC<53>     
                                  108      GND_SIGNAL              
                                  109      GND_SIGNAL              
                                  110      ANALOG_TO_MAROC<54>     
                                  111      ANALOG_TO_MAROC<55>     
                                  112      GND_SIGNAL              
                                  113      GND_SIGNAL              
                                  114      ANALOG_TO_MAROC<56>     
                                  115      ANALOG_TO_MAROC<57>     
                                  116      GND_SIGNAL              
                                  117      GND_SIGNAL              
                                  118      ANALOG_TO_MAROC<58>     
                                  119      ANALOG_TO_MAROC<59>     
                                  120      GND_SIGNAL              
                                  121      GND_SIGNAL              
                                  122      ANALOG_TO_MAROC<60>     
                                  123      ANALOG_TO_MAROC<61>     
                                  124      GND_SIGNAL              
                                  125      GND_SIGNAL              
                                  126      ANALOG_TO_MAROC<62>     
                                  127      ANALOG_TO_MAROC<63>     
                                  128      GND_SIGNAL              
                                  129      GND_SIGNAL              
                                  132      GND_SIGNAL              
                                  133      GND_SIGNAL              
                                  136      GND_SIGNAL              
                                  137      GND_SIGNAL              
                                  140      GND_SIGNAL              
                                  141      GND_SIGNAL              
                                  144      GND_SIGNAL              
                                  145      GND_SIGNAL              
                                  146      GND_SIGNAL              
                                  147      AVDD                    
                                  148      AVDD                    
                                  149      AVDD                    
                                  150      AVDD                    
PX1              COAX-PLEMO00D    1        UNNAMED_1_CAPN4I_I10_A_1_11
                                  2        GND_SIGNAL              
                                  3        GND_SIGNAL              
                                  4        GND_SIGNAL              
                                  5        GND_SIGNAL              
PX2              COAX-PLEMO00D    1        UNNAMED_1_CAPN4I_I10_A_2_11
                                  2        GND_SIGNAL              
                                  3        GND_SIGNAL              
                                  4        GND_SIGNAL              
                                  5        GND_SIGNAL              
PX3              COAX-PLEMO00D    1        UNNAMED_1_CAPN4I_I10_A_1_13
                                  2        GND_SIGNAL              
                                  3        GND_SIGNAL              
                                  4        GND_SIGNAL              
                                  5        GND_SIGNAL              
PX4              COAX-PLEMO00D    1        UNNAMED_1_CAPN4I_I10_A_2_13
                                  2        GND_SIGNAL              
                                  3        GND_SIGNAL              
                                  4        GND_SIGNAL              
                                  5        GND_SIGNAL              
PX5              COAX-PLEMO00D    1        UNNAMED_1_CAPN4I_I10_A_1_10
                                  2        GND_SIGNAL              
                                  3        GND_SIGNAL              
                                  4        GND_SIGNAL              
                                  5        GND_SIGNAL              
PX6              COAX-PLEMO00D    1        UNNAMED_1_CAPN4I_I10_A_2_10
                                  2        GND_SIGNAL              
                                  3        GND_SIGNAL              
                                  4        GND_SIGNAL              
                                  5        GND_SIGNAL              
PX7              COAX-PLEMO00D    1        UNNAMED_1_CAPN4I_I10_A_1_16
                                  2        GND_SIGNAL              
                                  3        GND_SIGNAL              
                                  4        GND_SIGNAL              
                                  5        GND_SIGNAL              
PX8              COAX-PLEMO00D    1        UNNAMED_1_CAPN4I_I10_A_2_16
                                  2        GND_SIGNAL              
                                  3        GND_SIGNAL              
                                  4        GND_SIGNAL              
                                  5        GND_SIGNAL              
PX9              COAX-PLEMO00D    1        UNNAMED_1_CAPN4I_I10_A_11
                                  2        GND_SIGNAL              
                                  3        GND_SIGNAL              
                                  4        GND_SIGNAL              
                                  5        GND_SIGNAL              
PX10             COAX-PLEMO00D    1        UNNAMED_1_CAPN4I_I10_A_3_11
                                  2        GND_SIGNAL              
