CONCISE NET LIST - 1  
AVDD                     J1               148      CON150P-QTS75_03FDA-P1=GND_SIGA
AVDD                     J1               149      CON150P-QTS75_03FDA-P1=GND_SIGA
AVDD                     J1               150      CON150P-QTS75_03FDA-P1=GND_SIGA
AVDD                     J1_1             6        CON6P-SSW-103-01-G-D
AVDD                     LK8              1        1-HOLE_0-8-BASE 
AVDD                     R10_1            2        RSMD0402_1/16W-10R,5%
AVDD                     R11_1            2        RSMD0402_1/16W-10R,5%
AVDD                     R12_1            2        RSMD0402_1/16W-10R,5%
AVDD                     R13_1            2        RSMD0402_1/16W-10R,5%
AVDD                     R14_1            2        RSMD0402_1/16W-100,1%
AVDD                     R15_1            2        RSMD0402_1/16W-10R,5%
AVDD                     R16_1            2        RSMD0402_1/16W-10R,5%
AVDD                     R17_1            2        RSMD0402_1/16W-100,1%
AVDD                     R20_1            2        RSMD0402_0.0625W-XX,1%
AVDD                     R22_1            2        RSMD0402_0.0625W-XX,1%
AVDD                     R25_1            2        RSMD0402_0.0625W-XX,1%
AVDD                     R27_1            2        RSMD0402_1/16W-1K,5%
AVDD                     R28_1            2        RSMD0402_0.0625W-XX,1%
AVDD                     R30_1            2        RSMD0402_0.0625W-XX,1%
AVDD                     R32_1            2        RSMD0402_0.0625W-XX,1%
AVDD                     R34_1            2        RSMD0402_0.0625W-XX,1%
AVDD                     R36_1            2        RSMD0402_0.0625W-XX,1%
AVDD                     R42_1            2        RSMD0603_1/10W-82,1%
AVDD                     R46_1            1        RSMD0402_1/16W-3.3R,5%
AVDD                     R47_1            1        RSMD0402_1/16W-3.3R,5%
AVDD                     R5_1             2        RSMD0402_1/16W-10R,5%
AVDD                     R69              2        RSMD0603_1/10W-62K,1%
AVDD                     R6_1             2        RSMD0402_1/16W-10R,5%
AVDD                     R7_1             2        RSMD0402_1/16W-10R,5%
AVDD                     R8_1             2        RSMD0402_1/16W-10R,5%
AVDD                     R9_1             2        RSMD0402_1/16W-10R,5%
AVDD                     RG1_1            1        LM2937IMP_SOT223-2.5V,TI
CKB_40M                  J3_1             3        CON3P-SIL254D   
CKB_40M                  R24_1            2        RSMD0402_1/16W-100,1%
CKB_40M                  U1_1             186      MAROC3_PQFP-IN2P3
CKB_40M                  U3               AB4      PC049A_FPGA     
CK_40M                   J3_1             2        CON3P-SIL254D   
CK_40M                   R24_1            1        RSMD0402_1/16W-100,1%
