A!REFDES!COMP_REUSE_ID!COMP_SIGNAL_MODEL!COMP_NO_XNET_CONNECTION!COMP_PARENT_PPT!COMP_SYMBOL_EDITED!COMP_PARENT_PPT_PART!COMP_EMBEDDED_PLACEMENT!
J!/projects/HEP_Instrumentation/cad/designs/uob-hep-pc049a/trunk/design_files/worklib/pc049a_toplevel/physical/02_09_2014_pc049a_toplevel_36_a16-5.brd!Fri Oct  3 09:30:51 2014!-300.0000!-200.0000!500.0000!350.0000!0.0001!millimeters!PC049A_TOPLEVEL!62.755906 mil!10!UP TO DATE!
S!L6!!!!FERRITE!!FERRITE_SMD-220Z,ILBB_0603!!
S!L7!!!!FERRITE!!FERRITE_SMD-220Z,ILBB_0603!!
S!L8!!!!FERRITE!!FERRITE_SMD-220Z,ILBB_0603!!
S!Z1!!!!LM4040!!LM4040-CIM3-2.5V,0.5%!!
S!QZ2!!!!OSC_6P_VCTRL_ENDIS_OUT!!OSC_6P_VCTRL_ENDIS_OUT_124-CFPV-45,20.000MHZ!!
S!U1!!!!OSC_VCXO_4P!!OSC_VCXO_4P_OSC_4PIN_53S-25MHZ,MERCURY!!
S!R54!!!!RSMD0603!!RSMD0603_-00,!!
S!R55!!!!RSMD0603!!RSMD0603_-00,!!
S!R20!!!!RSMD0603!!RSMD0603_-00,!!
S!R21!!!!RSMD0603!!RSMD0603_-00,!!
S!R14!!!!RSMD0603!!RSMD0603_1/10W-240,1%!!
S!R15!!!!RSMD0603!!RSMD0603_1/10W-240,1%!!
S!R16!!!!RSMD0603!!RSMD0603_1/10W-240,1%!!
S!R17!!!!RSMD0603!!RSMD0603_1/10W-33,1%!!
S!IC11!!!!CDCM61004!!CDCM61004RHB!!
S!LC1!!!!BNX02!!BNX022-01!!
S!LC3!!!!BNX02!!BNX022-01!!
S!LC2!!!!BNX02!!BNX022-01!!
S!C44!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0402-1NF_X7R,50V!!
S!C103!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0603-100NF,16V!!
S!C100!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0603-100NF,16V!!
S!C31!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0603-100NF,16V!!
S!C48_1!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0603-10UF,6.3V!!
S!C52_1!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0603-10UF,6.3V!!
S!C53_1!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0603-10UF,6.3V!!
S!C54_1!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0603-10UF,6.3V!!
S!C48!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0603-10UF,6.3V!!
S!C41!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0603-2.2UF,10V!!
S!C95!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0603-2.2UF,10V!!
S!C84!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0603-2.2UF,10V!!
S!C42!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0603-2.2UF,10V!!
S!C46!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0603-2.2UF,10V!!
S!C13!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0603-22UF,4V!!
S!C23!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0603-22UF,4V!!
S!C28!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0603-22UF,4V!!
S!C30!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0603-22UF,4V!!
S!C47!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0603-4.7UF,6.3V_GEN!!
S!C33!!!!CAPCERSMDCL2!!CAPCERSMDCL2_1210-10UF,50V!!
S!C35!!!!CAPCERSMDCL2!!CAPCERSMDCL2_1210-10UF,50V!!
S!C36!!!!CAPCERSMDCL2!!CAPCERSMDCL2_1210-10UF,50V!!
S!C37!!!!CAPCERSMDCL2!!CAPCERSMDCL2_1210-10UF,50V!!
S!C87!!!!CAPCERSMDCL2!!CAPCERSMDCL2_1210-10UF,50V!!
S!C89!!!!CAPCERSMDCL2!!CAPCERSMDCL2_1210-10UF,50V!!
S!C90!!!!CAPCERSMDCL2!!CAPCERSMDCL2_1210-10UF,50V!!
S!C91!!!!CAPCERSMDCL2!!CAPCERSMDCL2_1210-10UF,50V!!
S!C76!!!!CAPCERSMDCL2!!CAPCERSMDCL2_1210-10UF,50V!!
S!C78!!!!CAPCERSMDCL2!!CAPCERSMDCL2_1210-10UF,50V!!
S!C79!!!!CAPCERSMDCL2!!CAPCERSMDCL2_1210-10UF,50V!!
S!C80!!!!CAPCERSMDCL2!!CAPCERSMDCL2_1210-10UF,50V!!
S!C38!!!!CAPCERSMDCL2!!CAPCERSMDCL2_1210-47UF_X5R,6.3V!!
S!C39!!!!CAPCERSMDCL2!!CAPCERSMDCL2_1210-47UF_X5R,6.3V!!
S!C92!!!!CAPCERSMDCL2!!CAPCERSMDCL2_1210-47UF_X5R,6.3V!!
S!C93!!!!CAPCERSMDCL2!!CAPCERSMDCL2_1210-47UF_X5R,6.3V!!
S!C81!!!!CAPCERSMDCL2!!CAPCERSMDCL2_1210-47UF_X5R,6.3V!!
S!C82!!!!CAPCERSMDCL2!!CAPCERSMDCL2_1210-47UF_X5R,6.3V!!
S!J6!!!!CON20P_SFP!!CON20P_SFP-1367073-1!!
S!J7!!!!CON20P_SFP!!CON20P_SFP-1367073-1!!
S!IC13!!!!DS18B20!!DS18B20U+!!
S!C32!!!!ELCAPTAN!!ELCAPTAN_SMD-150UF,20V!!
S!C86!!!!ELCAPTAN!!ELCAPTAN_SMD-150UF,20V!!
S!C75!!!!ELCAPTAN!!ELCAPTAN_SMD-150UF,20V!!
